date,country,count
2024-01-12,Australia,22
2024-01-12,Canada,43
2024-01-12,United Kingdom,65
2024-01-12,United States,611
2024-01-13,Australia,52
2024-01-13,Canada,94
2024-01-13,United Kingdom,169
2024-01-13,United States,1629
2024-01-14,Australia,19
2024-01-14,Canada,79
2024-01-14,United Kingdom,60
2024-01-14,United States,1179
2024-01-15,Australia,1
2024-01-15,Canada,19
2024-01-15,United Kingdom,27
2024-01-15,United States,325
2024-01-16,Australia,5
2024-01-16,Canada,16
2024-01-16,United Kingdom,53
2024-01-16,United States,403
2024-01-17,Australia,2
2024-01-17,Canada,5
2024-01-17,United Kingdom,7
2024-01-17,United States,115
